类别：所有类别

月份,房价: (中国)
2004-01,6
2004-02,10
2004-03,11
2004-04,13
2004-05,11
2004-06,10
2004-07,10
2004-08,10
2004-09,11
2004-10,13
2004-11,12
2004-12,14
2005-01,15
2005-02,15
2005-03,22
2005-04,23
2005-05,26
2005-06,22
2005-07,14
2005-08,15
2005-09,15
2005-10,15
2005-11,16
2005-12,16
2006-01,13
2006-02,19
2006-03,21
2006-04,22
2006-05,24
2006-06,18
2006-07,15
2006-08,17
2006-09,19
2006-10,23
2006-11,20
2006-12,24
2007-01,22
2007-02,21
2007-03,31
2007-04,27
2007-05,27
2007-06,32
2007-07,37
2007-08,42
2007-09,37
2007-10,36
2007-11,38
2007-12,39
2008-01,32
2008-02,31
2008-03,42
2008-04,31
2008-05,30
2008-06,33
2008-07,37
2008-08,29
2008-09,38
2008-10,41
2008-11,40
2008-12,34
2009-01,29
2009-02,42
2009-03,37
2009-04,33
2009-05,34
2009-06,34
2009-07,36
2009-08,43
2009-09,41
2009-10,46
2009-11,52
2009-12,73
2010-01,61
2010-02,66
2010-03,82
2010-04,100
