类别：所有类别

周,温度: (全球)
2015-02-08,47
2015-02-15,40
2015-02-22,37
2015-03-01,37
2015-03-08,36
2015-03-15,36
2015-03-22,36
2015-03-29,35
2015-04-05,39
2015-04-12,38
2015-04-19,38
2015-04-26,38
2015-05-03,34
2015-05-10,46
2015-05-17,41
2015-05-24,49
2015-05-31,47
2015-06-07,44
2015-06-14,44
2015-06-21,45
2015-06-28,44
2015-07-05,48
2015-07-12,65
2015-07-19,58
2015-07-26,70
2015-08-02,71
2015-08-09,44
2015-08-16,44
2015-08-23,42
2015-08-30,41
2015-09-06,41
2015-09-13,39
2015-09-20,33
2015-09-27,38
2015-10-04,41
2015-10-11,40
2015-10-18,42
2015-10-25,48
2015-11-01,45
2015-11-08,47
2015-11-15,44
2015-11-22,57
2015-11-29,52
2015-12-06,49
2015-12-13,51
2015-12-20,52
2015-12-27,39
2016-01-03,38
2016-01-10,46
2016-01-17,57
2016-01-24,59
2016-01-31,48
2016-02-07,49
2016-02-14,44
2016-02-21,41
2016-02-28,39
2016-03-06,41
2016-03-13,37
2016-03-20,37
2016-03-27,34
2016-04-03,37
2016-04-10,38
2016-04-17,42
2016-04-24,39
2016-05-01,34
2016-05-08,42
2016-05-15,44
2016-05-22,51
2016-05-29,45
2016-06-05,44
2016-06-12,48
2016-06-19,50
2016-06-26,50
2016-07-03,64
2016-07-10,51
2016-07-17,46
2016-07-24,48
2016-07-31,55
2016-08-07,47
2016-08-14,40
2016-08-21,44
2016-08-28,41
2016-09-04,40
2016-09-11,38
2016-09-18,36
2016-09-25,38
2016-10-02,40
2016-10-09,44
2016-10-16,42
2016-10-23,45
2016-10-30,53
2016-11-06,56
2016-11-13,46
2016-11-20,50
2016-11-27,45
2016-12-04,48
2016-12-11,51
2016-12-18,48
2016-12-25,43
2017-01-01,39
2017-01-08,52
2017-01-15,58
2017-01-22,54
2017-01-29,49
2017-02-05,51
2017-02-12,47
2017-02-19,45
2017-02-26,41
2017-03-05,42
2017-03-12,39
2017-03-19,37
2017-03-26,40
2017-04-02,39
2017-04-09,44
2017-04-16,44
2017-04-23,41
2017-04-30,38
2017-05-07,47
2017-05-14,49
2017-05-21,53
2017-05-28,54
2017-06-04,45
2017-06-11,45
2017-06-18,48
2017-06-25,52
2017-07-02,66
2017-07-09,70
2017-07-16,65
2017-07-23,58
2017-07-30,53
2017-08-06,53
2017-08-13,45
2017-08-20,54
2017-08-27,46
2017-09-03,45
2017-09-10,43
2017-09-17,40
2017-09-24,44
2017-10-01,45
2017-10-08,47
2017-10-15,63
2017-10-22,51
2017-10-29,51
2017-11-05,51
2017-11-12,62
2017-11-19,68
2017-11-26,53
2017-12-03,65
2017-12-10,60
2017-12-17,59
2017-12-24,52
2017-12-31,45
2018-01-07,59
2018-01-14,53
2018-01-21,69
2018-01-28,57
2018-02-04,59
2018-02-11,50
2018-02-18,47
2018-02-25,45
2018-03-04,47
2018-03-11,41
2018-03-18,41
2018-03-25,41
2018-04-01,42
2018-04-08,42
2018-04-15,44
2018-04-22,45
2018-04-29,39
2018-05-06,43
2018-05-13,55
2018-05-20,49
2018-05-27,47
2018-06-03,53
2018-06-10,50
2018-06-17,47
2018-06-24,61
2018-07-01,59
2018-07-08,65
2018-07-15,100
2018-07-22,91
2018-07-29,74
2018-08-05,63
2018-08-12,53
2018-08-19,58
2018-08-26,53
2018-09-02,46
2018-09-09,48
2018-09-16,45
2018-09-23,46
2018-09-30,48
2018-10-07,50
2018-10-14,50
2018-10-21,50
2018-10-28,54
2018-11-04,49
2018-11-11,55
2018-11-18,62
2018-11-25,55
2018-12-02,58
2018-12-09,75
2018-12-16,59
2018-12-23,61
2018-12-30,49
2019-01-06,58
2019-01-13,57
2019-01-20,60
2019-01-27,58
2019-02-03,57
2019-02-10,59
2019-02-17,52
2019-02-24,46
2019-03-03,47
2019-03-10,45
2019-03-17,46
2019-03-24,44
2019-03-31,44
2019-04-07,45
2019-04-14,46
2019-04-21,51
2019-04-28,44
2019-05-05,53
2019-05-12,58
2019-05-19,61
2019-05-26,62
2019-06-02,53
2019-06-09,48
2019-06-16,52
2019-06-23,55
2019-06-30,55
2019-07-07,52
2019-07-14,50
2019-07-21,62
2019-07-28,81
2019-08-04,69
2019-08-11,57
2019-08-18,56
2019-08-25,50
2019-09-01,48
2019-09-08,51
2019-09-15,47
2019-09-22,43
2019-09-29,46
2019-10-06,46
2019-10-13,53
2019-10-20,48
2019-10-27,50
2019-11-03,57
2019-11-10,61
2019-11-17,64
2019-11-24,65
2019-12-01,72
2019-12-08,63
2019-12-15,54
2019-12-22,56
2019-12-29,45
2020-01-05,54
2020-01-12,51
2020-01-19,54
2020-01-26,56
2020-02-02,53
